Glacier a,ID,Region,Type,Lat (deg),Lon (deg),Dist. (km)B,"Record
Span","Type, Entire Record","Dynamic thickness change pattern
2003-09 Record",MaxRate,ShortTerm,Note
Steenby glacier,159,N,TW,81.4431,-54.0752,6.3,1999-2011,No dynamic change,No dynamic change,,,
Academy,163,N,TW,81.4539,-32.367,19.4,2003-2009,Accelerating thinning,Accelerating thinning,S,,
Kangilinnguata S.,165,SW,LT,64.965,-49.687,8.6,2003-2011,No dynamic change,No dynamic change,,,Upstream of max vel
Courtauld,167,SE,TW,68.5127,-32.1764,1.4,2003-2012,Thinning,Thinning,S,L,
Saqqarliup Sermia,168,Jak,TW,68.8981,-50.2935,1.3,2001-2011,Accelerating thinning,Thinning,s,,
Brikkerne,169,N,TW,81.8183,-45.4605,2.5,2003-2009,No dynamic change,No dynamic change,,,
Qamanaarsuup S.,173,SW,LT,64.4845,-49.4714,1.1,2003-2011,Decelerating thinning,Thinning,s,L,Maximum velocity
Harder,177,N,TW,81.6158,-44.6664,5.3,2003-2009,No dynamic change,No dynamic change,,,
South of Sermeq,178A,SW,LT,63.6276,-49.2491,3.6,2003-2011,No dynamic change,No dynamic change,,,Maximum velocity
South of Sermeq,178B,SW,LT,63.5168,-49.5842,17.5,2004-2011,Thinning,Thinning,,,Terminus
Helland E,179,NW,TW,76.3443,-64.803,8.4,2003-2009,No dynamic change,No dynamic change,,,
Nakkaasorsuaq,181,SW,TW,63.0757,-49.4791,10.7,2004-2011,No dynamic change,No dynamic change,,,
Majorqaq,182,SW,LT,65.7595,-50.0658,10.7,2004-2011,No dynamic change,No dynamic change,,,Upstream of max vel
Usulluup Sermia,183,SW,LT,68.0024,-50.0266,6.7,2004-2012,No dynamic change,No dynamic change,,,Upstream of max vel
Jætte,185,E,TW,73.4483,-27.6804,1.4,2003-2009,Thickening,Thickening,,,
Nordenskiöld,188,SW,LT,68.3927,-50.5976,4.3,2003-2011,Thinning,Thinning,s,,Upstream of max vel
Saqqap Sermersua,189A,SW,LT,65.3044,-50.3826,2.3,1993-2011,No dynamic change,No dynamic change,,,Maximum velocity
Saqqap Sermersua,189B,SW,LT,65.2113,-50.6708,14.8,2004-2012,Decelerating thinning,Thinning,,,Terminus
Wordie,190A,E,LT,74.5106,-23.8801,1.7,1997-2009,No dynamic change,No dynamic change,,,Maximum velocity
Wordie,190B,E,LT,74.1752,-22.4369,57.2,1994-2008,ThickenThin,Thinning,s,,Terminus
Kangerluarsuup S.,191,Jak,TW,71.21,-50.9589,19.4,2003-2012,Thinning,Thinning,s,,
Morell,193,NW,TW,76.3418,-62.4143,7.7,2003-2011,Full cycle thinning,Full cycle thinning,s,,
Nordenskiöld,194,E,TW,73.1316,-27.9783,2.7,2003-2012,ThinThickThin,ThinThicken,s,L,
Kangaasarsuup S.,197A,SW,LT,64.0409,-49.2762,13.1,2003-2011,No dynamic change,No dynamic change,,,Maximum velocity
Kangaasarsuup S.,197B,SW,LT,64.1491,-49.8221,16.2,2003-2009,Accelerating thinning,Accelerating thinning,s,,Terminus
Violin,200A,E,LT,72.372,-27.0499,2.1,2003-2012,No dynamic change,No dynamic change,,,Maximum velocity
Violin,200B,E,LT,72.1545,-26.6988,28.2,2003-2012,Thinning,Thinning,s,,Terminus
Isunnguata Sermia,205,SW,LT,67.1855,-49.9966,0.2,2003-2010,No dynamic change,No dynamic change,,,Maximum velocity
Russell,212,SW,LT,67.0997,-49.9542,0.6,1993-2011,No dynamic change,No dynamic change,,,Maximum velocity
Waltershausen,214,E,TW,73.843,-24.366,5.2,1997-2009,Accelerating thinning,Thinning,s,,
Wahlenberg,215,E,LT,72.6218,-27.9065,6.3,2003-2012,No dynamic change,No dynamic change,,,Maximum velocity
Helland,216,NW,TW,76.2987,-64.8649,12.1,2003-2009,No dynamic change,No dynamic change,,,
Marie Sophie,217A,N,TW,81.7733,-33.1402,4.4,2003-2009,Thinning,Thinning,s,,Terminus
Marie Sophie,217B,N,TW,81.8191,-33.7598,14.7,2003-2009,Thickening,Thickening,,,Upstream
Alangorliup Sermia,219,Jak,TW,68.9139,-50.1742,4,1997-2011,ThickenThin,Thinning,s,,
Harald Moltke Bræ,220,NW,TW,76.5695,-67.63,5.6,2004-2011,Thinning,Thinning,s,L,
Storstrømmen,225A,NE,TW,76.8391,-22.5615,14.7,1997-2012,Thinning,Thinning,s,,Terminus
Storstrømmen,225B,NE,TW,77.5358,-24.1853,102.3,1994-2008,Thickening,Thickening,,,Upstream
Eielson,230,E,TW,71.1735,-28.0054,6.1,2003-2011,Thinning,Thinning,s,,
Nordfjord,233,SE,TW,68.6567,-32.6238,1.2,2003-2012,Thinning,Thinning,s,,
Pitugﬁk,234,NW,TW,76.2768,-68.5562,9.7,2003-2011,Accelerating thinning,Thinning,s,,
Kofoed-Hansen Bræ,240,NE,TW,77.5141,-21.8244,1.6,2003-2012,Thinning,Thinning,s,,
Newman Bugt,241,N,TW,81.2588,-57.1194,8.5,2003-2012,No dynamic change,No dynamic change,,,
L. Bistrup Bræ,242A,NE,TW,76.6414,-22.8038,2.8,1994-2009,Accelerating thinning,Thinning,s,,Terminus
L. Bistrup Bræ,242B,NE,TW,76.2284,-22.9404,46.6,1997-2012,Thickening,Thickening,,,Upstream
